Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1970-01-02,0.590156,0.590156,0.586632,0.590156,1710975.4242188
1970-01-05,0.590156,0.590156,0.579978,0.583011,1265840.8901389
